,Unnamed: 0,RODADA,MANDANTE,GOLS_MANDANTE,VISITANTE,GOLS_VISITANTE,ANO,RESULTADO,RESULTADO_PREDITO
295,284,37,Santa Cruz,5.0,Grêmio,1.0,2016,,Vitória_Mandante
296,277,7,Santa Cruz,0.0,Santos,2.0,2016,,Vitória_Visitante
297,276,19,Santa Cruz,1.0,São Paulo,2.0,2016,,Empate
298,315,23,Santa Cruz,2.0,Chapecoense,2.0,2016,,Vitória_Visitante
299,303,12,Santa Cruz,0.0,Ponte Preta,3.0,2016,,Vitória_Mandante
300,275,28,Santa Cruz,2.0,Palmeiras,3.0,2016,,Vitória_Visitante
301,282,36,Santa Cruz,3.0,Atlético-MG,3.0,2016,,Vitória_Mandante
302,264,30,Santa Cruz,2.0,Corinthians,4.0,2016,,Vitória_Mandante
303,262,18,Santos,0.0,Flamengo,0.0,2016,,Vitória_Mandante
304,275,33,Santos,1.0,Palmeiras,0.0,2016,,Vitória_Mandante
305,327,38,Santos,1.0,América-MG,0.0,2016,,Vitória_Mandante
306,283,17,Santos,2.0,Cruzeiro,0.0,2016,,Vitória_Mandante
307,292,8,Santos,2.0,Sport,0.0,2016,,Vitória_Mandante
308,293,28,Santos,2.0,Atlético-PR,0.0,2016,,Vitória_Mandante
309,263,6,Santos,3.0,Botafogo,0.0,2016,,Vitória_Mandante
310,276,11,Santos,3.0,São Paulo,0.0,2016,,Vitória_Mandante
311,282,20,Santos,3.0,Atlético-MG,0.0,2016,,Vitória_Mandante
312,315,13,Santos,3.0,Chapecoense,0.0,2016,,Vitória_Mandante
313,285,4,Santos,0.0,Internacional,1.0,2016,,Vitória_Visitante
314,316,22,Santos,0.0,Figueirense,1.0,2016,,Vitória_Visitante
315,284,31,Santos,1.0,Grêmio,1.0,2016,,Empate
316,264,24,Santos,2.0,Corinthians,1.0,2016,,Vitória_Mandante
317,266,29,Santos,2.0,Fluminense,1.0,2016,,Vitória_Mandante
318,294,2,Santos,2.0,Coritiba,1.0,2016,,Vitória_Mandante
319,303,15,Santos,3.0,Ponte Preta,1.0,2016,,Vitória_Mandante
320,287,35,Santos,3.0,Vitória,2.0,2016,,Vitória_Mandante
321,344,26,Santos,3.0,Santa Cruz,2.0,2016,,Vitória_Mandante
322,262,28,São Paulo,0.0,Flamengo,0.0,2016,,Vitória_Mandante
323,292,10,São Paulo,0.0,Sport,0.0,2016,,Empate
324,294,22,São Paulo,0.0,Coritiba,0.0,2016,,Vitória_Mandante
325,275,4,São Paulo,1.0,Palmeiras,0.0,2016,,Vitória_Mandante
326,283,25,São Paulo,1.0,Cruzeiro,0.0,2016,,Vitória_Mandante
327,287,8,São Paulo,2.0,Vitória,0.0,2016,,Vitória_Mandante
328,303,32,São Paulo,2.0,Ponte Preta,0.0,2016,,Vitória_Mandante
329,327,14,São Paulo,3.0,América-MG,0.0,2016,,Vitória_Mandante
330,264,34,São Paulo,4.0,Corinthians,0.0,2016,,Empate
331,344,38,São Paulo,5.0,Santa Cruz,0.0,2016,,Vitória_Mandante
332,263,20,São Paulo,0.0,Botafogo,1.0,2016,,Vitória_Mandante
333,277,30,São Paulo,0.0,Santos,1.0,2016,,Vitória_Visitante
334,284,35,São Paulo,1.0,Grêmio,1.0,2016,,Vitória_Mandante
335,266,12,São Paulo,2.0,Fluminense,1.0,2016,,Vitória_Mandante
336,316,24,São Paulo,3.0,Figueirense,1.0,2016,,Vitória_Mandante
337,282,18,São Paulo,1.0,Atlético-MG,2.0,2016,,Vitória_Mandante
338,285,2,São Paulo,1.0,Internacional,2.0,2016,,Vitória_Visitante
339,293,7,São Paulo,1.0,Atlético-PR,2.0,2016,,Vitória_Mandante
340,315,17,São Paulo,2.0,Chapecoense,2.0,2016,,Empate
341,262,20,Sport,1.0,Flamengo,0.0,2016,,Vitória_Mandante
